"Region","Location of Placement","Type of Placement","Race/Ethnicity","Value"
"Central Region","In State","Connecticut Juvenile Training School","Black",1
"Central Region","In State","Connecticut Juvenile Training School","Hispanic",3
"Central Region","In State","Connecticut Juvenile Training School","Other",1
"Central Region","In State","Connecticut Juvenile Training School","White",0
"Central Region","In State","Foster Care","Black",16
"Central Region","In State","Foster Care","Hispanic",56
"Central Region","In State","Foster Care","Other",15
"Central Region","In State","Foster Care","White",47
"Central Region","In State","Group Home","Black",7
"Central Region","In State","Group Home","Hispanic",18
"Central Region","In State","Group Home","Other",2
"Central Region","In State","Group Home","White",15
"Central Region","In State","High Meadows","Black",0
"Central Region","In State","High Meadows","Hispanic",0
"Central Region","In State","High Meadows","Other",0
"Central Region","In State","High Meadows","White",0
"Central Region","In State","Independent Living","Black",10
"Central Region","In State","Independent Living","Hispanic",12
"Central Region","In State","Independent Living","Other",0
"Central Region","In State","Independent Living","White",14
"Central Region","In State","Medical or Psychiatric Hospital Placement","Black",2
"Central Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",2
"Central Region","In State","Medical or Psychiatric Hospital Placement","Other",0
"Central Region","In State","Medical or Psychiatric Hospital Placement","White",1
"Central Region","In State","PDC or Safe Home","Black",0
"Central Region","In State","PDC or Safe Home","Hispanic",0
"Central Region","In State","PDC or Safe Home","Other",0
"Central Region","In State","PDC or Safe Home","White",0
"Central Region","In State","Relative Foster Care","Black",6
"Central Region","In State","Relative Foster Care","Hispanic",73
"Central Region","In State","Relative Foster Care","Other",14
"Central Region","In State","Relative Foster Care","White",77
"Central Region","In State","Residential Treatment Center","Black",2
"Central Region","In State","Residential Treatment Center","Hispanic",11
"Central Region","In State","Residential Treatment Center","Other",1
"Central Region","In State","Residential Treatment Center","White",5
"Central Region","In State","Shelter","Black",1
"Central Region","In State","Shelter","Hispanic",0
"Central Region","In State","Shelter","Other",0
"Central Region","In State","Shelter","White",1
"Central Region","In State","Solnit Center","Black",0
"Central Region","In State","Solnit Center","Hispanic",0
"Central Region","In State","Solnit Center","Other",0
"Central Region","In State","Solnit Center","White",3
"Central Region","In State","Special Study","Black",3
"Central Region","In State","Special Study","Hispanic",16
"Central Region","In State","Special Study","Other",3
"Central Region","In State","Special Study","White",11
"Central Region","In State","Therapeutic Foster Care","Black",15
"Central Region","In State","Therapeutic Foster Care","Hispanic",44
"Central Region","In State","Therapeutic Foster Care","Other",14
"Central Region","In State","Therapeutic Foster Care","White",35
"Central Region","In State","Total","Black",63
"Central Region","In State","Total","Hispanic",235
"Central Region","In State","Total","Other",50
"Central Region","In State","Total","White",209
"Central Region","Out of State","Connecticut Juvenile Training School","Black",0
"Central Region","Out of State","Connecticut Juvenile Training School","Hispanic",-6666
"Central Region","Out of State","Connecticut Juvenile Training School","Other",0
"Central Region","Out of State","Connecticut Juvenile Training School","White",0
"Central Region","Out of State","Foster Care","Black",0
"Central Region","Out of State","Foster Care","Hispanic",-6666
"Central Region","Out of State","Foster Care","Other",1
"Central Region","Out of State","Foster Care","White",2
"Central Region","Out of State","Group Home","Black",0
"Central Region","Out of State","Group Home","Hispanic",-6666
"Central Region","Out of State","Group Home","Other",0
"Central Region","Out of State","Group Home","White",0
"Central Region","Out of State","High Meadows","Black",0
"Central Region","Out of State","High Meadows","Hispanic",-6666
"Central Region","Out of State","High Meadows","Other",0
"Central Region","Out of State","High Meadows","White",0
"Central Region","Out of State","Independent Living","Black",2
"Central Region","Out of State","Independent Living","Hispanic",-6666
"Central Region","Out of State","Independent Living","Other",0
"Central Region","Out of State","Independent Living","White",2
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",-6666
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","Other",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Central Region","Out of State","PDC or Safe Home","Black",0
"Central Region","Out of State","PDC or Safe Home","Hispanic",-6666
"Central Region","Out of State","PDC or Safe Home","Other",0
"Central Region","Out of State","PDC or Safe Home","White",0
"Central Region","Out of State","Relative Foster Care","Black",0
"Central Region","Out of State","Relative Foster Care","Hispanic",-6666
"Central Region","Out of State","Relative Foster Care","Other",0
"Central Region","Out of State","Relative Foster Care","White",1
