"Region","Location of Placement","Type of Placement","0 to 3 Years","4 to 6 Years","7 to 12 Years","13 to 17 Years","18 Years and Over","Total"
"Eastern Region","In State","Total",260,135,179,200,86,860
"North Central Region","In State","Total",260,96,123,241,125,845
"Western Region","In State","Total",259,87,192,213,84,835
"South Central Region","In State","Total",138,70,112,164,101,585
"Central Region","In State","Total",118,86,106,143,104,557
"Southwest Region","In State","Total",120,49,99,141,59,468
"Eastern Region","In State","Relative Foster Care",119,79,97,34,1,330
"North Central Region","In State","Relative Foster Care",128,48,63,44,8,291
"Western Region","In State","Relative Foster Care",121,42,69,37,7,276
"Eastern Region","In State","Foster Care",127,44,54,38,12,275
"Western Region","In State","Foster Care",107,29,59,47,20,262
"North Central Region","In State","Foster Care",98,27,27,47,19,218
"South Central Region","In State","Relative Foster Care",75,29,41,26,3,174
"Central Region","In State","Relative Foster Care",62,43,40,21,4,170
"Western Region","In State","Therapeutic Foster Care",9,12,45,64,25,155
"Southwest Region","In State","Relative Foster Care",58,18,46,26,4,152
"South Central Region","In State","Foster Care",40,25,36,32,13,146
"Central Region","In State","Foster Care",49,24,23,30,8,134
"Southwest Region","In State","Foster Care",42,19,27,31,9,128
"North Central Region","In State","Therapeutic Foster Care",7,7,19,57,23,113
"Central Region","In State","Therapeutic Foster Care",0,12,32,39,25,108
"South Central Region","In State","Therapeutic Foster Care",8,13,22,42,21,106
"Eastern Region","In State","Therapeutic Foster Care",0,3,12,48,20,83
"Southwest Region","In State","Therapeutic Foster Care",8,3,18,38,15,82
"Western Region","In State","Special Study",21,4,17,30,4,76
"North Central Region","In State","Special Study",25,13,10,17,6,71
"North Central Region","In State","Group Home",0,0,1,30,26,57
"Eastern Region","In State","Special Study",14,9,13,15,2,53
"South Central Region","In State","Independent Living",0,0,0,0,44,44
"Central Region","In State","Group Home",0,0,0,23,19,42
"Eastern Region","In State","Group Home",0,0,1,24,15,40
"North Central Region","In State","Independent Living",0,0,0,1,37,38
"Central Region","In State","Independent Living",0,0,0,1,35,36
"South Central Region","In State","Special Study",15,3,7,9,2,36
"South Central Region","In State","Group Home",0,0,1,18,16,35
"Southwest Region","In State","Special Study",12,9,6,8,0,35
"Eastern Region","In State","Independent Living",0,0,0,2,32,34
"Central Region","In State","Special Study",6,6,8,11,2,33
"Eastern Region","In State","Residential Treatment Center",0,0,0,25,3,28
"Eastern Region","Out of State","Total",8,7,2,5,5,27
"Southwest Region","In State","Group Home",0,0,0,12,11,23
"North Central Region","In State","Residential Treatment Center",0,0,0,19,3,22
"South Central Region","In State","Residential Treatment Center",0,0,3,17,2,22
"North Central Region","Out of State","Total",4,5,8,4,-6666,21
"Western Region","In State","Group Home",0,0,1,10,10,21
"Central Region","In State","Residential Treatment Center",0,0,2,10,7,19
"South Central Region","Out of State","Total",2,2,6,4,5,19
"Southwest Region","In State","Independent Living",0,0,0,1,17,18
"North Central Region","In State","Shelter",0,0,0,14,3,17
"Eastern Region","Out of State","Relative Foster Care",5,7,2,0,1,15
"Western Region","In State","Independent Living",0,0,0,1,14,15
"North Central Region","Out of State","Relative Foster Care",4,3,5,2,-6666,14
