"Region","Location of Placement","Type of Placement","Gender","Value"
"Eastern Region","In State","Total","Total",860
"North Central Region","In State","Total","Total",845
"Western Region","In State","Total","Total",835
"South Central Region","In State","Total","Total",585
"Central Region","In State","Total","Total",557
"Southwest Region","In State","Total","Total",468
"North Central Region","In State","Total","Male",459
"Eastern Region","In State","Total","Male",441
"Western Region","In State","Total","Male",439
"Eastern Region","In State","Total","Female",419
"Western Region","In State","Total","Female",396
"North Central Region","In State","Total","Female",386
"Eastern Region","In State","Relative Foster Care","Total",330
"South Central Region","In State","Total","Female",302
"North Central Region","In State","Relative Foster Care","Total",291
"South Central Region","In State","Total","Male",283
"Central Region","In State","Total","Male",281
"Central Region","In State","Total","Female",276
"Western Region","In State","Relative Foster Care","Total",276
"Eastern Region","In State","Foster Care","Total",275
"Southwest Region","In State","Total","Male",271
"Western Region","In State","Foster Care","Total",262
"North Central Region","In State","Foster Care","Total",218
"Southwest Region","In State","Total","Female",197
"South Central Region","In State","Relative Foster Care","Total",174
"Central Region","In State","Relative Foster Care","Total",170
"Eastern Region","In State","Relative Foster Care","Female",168
"Eastern Region","In State","Relative Foster Care","Male",162
"Western Region","In State","Therapeutic Foster Care","Total",155
"North Central Region","In State","Relative Foster Care","Male",154
"Southwest Region","In State","Relative Foster Care","Total",152
"Western Region","In State","Relative Foster Care","Male",149
"South Central Region","In State","Foster Care","Total",146
"Eastern Region","In State","Foster Care","Male",142
"North Central Region","In State","Relative Foster Care","Female",137
"Western Region","In State","Foster Care","Female",135
"Central Region","In State","Foster Care","Total",134
"Eastern Region","In State","Foster Care","Female",133
"Southwest Region","In State","Foster Care","Total",128
"Western Region","In State","Relative Foster Care","Female",127
"Western Region","In State","Foster Care","Male",127
"North Central Region","In State","Foster Care","Male",114
"North Central Region","In State","Therapeutic Foster Care","Total",113
"Central Region","In State","Therapeutic Foster Care","Total",108
"South Central Region","In State","Therapeutic Foster Care","Total",106
"North Central Region","In State","Foster Care","Female",104
"South Central Region","In State","Relative Foster Care","Female",91
"Southwest Region","In State","Relative Foster Care","Male",91
"Central Region","In State","Relative Foster Care","Male",86
"South Central Region","In State","Foster Care","Female",86
"Central Region","In State","Relative Foster Care","Female",84
"Western Region","In State","Therapeutic Foster Care","Male",84
"Eastern Region","In State","Therapeutic Foster Care","Total",83
"South Central Region","In State","Relative Foster Care","Male",83
"Southwest Region","In State","Therapeutic Foster Care","Total",82
"Western Region","In State","Special Study","Total",76
"Central Region","In State","Foster Care","Female",72
"North Central Region","In State","Special Study","Total",71
"Western Region","In State","Therapeutic Foster Care","Female",71
"Southwest Region","In State","Foster Care","Male",69
"Central Region","In State","Foster Care","Male",62
"North Central Region","In State","Therapeutic Foster Care","Male",62
"Southwest Region","In State","Relative Foster Care","Female",61
"South Central Region","In State","Foster Care","Male",60
"Southwest Region","In State","Foster Care","Female",59
"North Central Region","In State","Group Home","Total",57
"South Central Region","In State","Therapeutic Foster Care","Male",56
"Central Region","In State","Therapeutic Foster Care","Male",55
"Central Region","In State","Therapeutic Foster Care","Female",53
"Eastern Region","In State","Special Study","Total",53
"North Central Region","In State","Therapeutic Foster Care","Female",51
"South Central Region","In State","Therapeutic Foster Care","Female",50
"Southwest Region","In State","Therapeutic Foster Care","Female",50
"South Central Region","In State","Independent Living","Total",44
"Eastern Region","In State","Therapeutic Foster Care","Male",43
"Central Region","In State","Group Home","Total",42
"Western Region","In State","Special Study","Female",42
"Eastern Region","In State","Therapeutic Foster Care","Female",40
"Eastern Region","In State","Group Home","Total",40
"North Central Region","In State","Special Study","Male",40
"North Central Region","In State","Independent Living","Total",38
"Central Region","In State","Independent Living","Total",36
"South Central Region","In State","Special Study","Total",36
"South Central Region","In State","Group Home","Total",35
"Southwest Region","In State","Special Study","Total",35
"Eastern Region","In State","Independent Living","Total",34
"Western Region","In State","Special Study","Male",34
"Central Region","In State","Special Study","Total",33
"North Central Region","In State","Group Home","Male",33
"Southwest Region","In State","Therapeutic Foster Care","Male",32
"North Central Region","In State","Special Study","Female",31
"Central Region","In State","Group Home","Male",30
"Eastern Region","In State","Special Study","Female",28
"Eastern Region","In State","Group Home","Male",28
"Eastern Region","In State","Residential Treatment Center","Total",28
"Eastern Region","Out of State","Total","Total",27
"Eastern Region","In State","Special Study","Male",25
"Central Region","In State","Independent Living","Female",24
"North Central Region","In State","Group Home","Female",24
"South Central Region","In State","Independent Living","Female",24
"South Central Region","In State","Group Home","Male",23
