"Town","FIPS","Year","Allegation Type","Report Status","Measure Type","Variable","Value","Region","Category"
"Andover",901301080,2017,"All","Alleged","Number","Child Abuse and Neglect",49,"North Central Region","All"
"Andover",901301080,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","All"
"Andover",901301080,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","All"
"Andover",901301080,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Andover",901301080,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Andover",901301080,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Andover",901301080,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Andover",901301080,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Andover",901301080,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Risk"
"Andover",901301080,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",12,"North Central Region","Abuse"
"Andover",901301080,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
