"District","FIPS","Year","Incident Type","Variable","Measure Type","Value","R#","Region"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Fighting and Battery","Incidents","Number",87,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Property Damage","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","School Policy Violations","Incidents","Number",20,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",20,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Weapons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",8,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","School Policy Violations","Incidents","Number",1220,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",12,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",19,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",231,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Fighting and Battery","Incidents","Number",180,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Property Damage","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Weapons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","School Policy Violations","Incidents","Number",584,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",18,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",9,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",148,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Fighting and Battery","Incidents","Number",68,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Property Damage","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Weapons","Incidents","Number",8,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number",8,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Violent Crimes Against Persons","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","School Policy Violations","Incidents","Number",490,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Sexually Related Behavior","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Personally Threatening Behavior","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Theft Related Behaviors","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Physical and Verbal Confrontation","Incidents","Number",161,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Fighting and Battery","Incidents","Number",59,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Property Damage","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Weapons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,1,"Southwest"
