"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",452
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",83.2
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",65
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",12
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",48
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",8.8
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",543
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",577
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",82.2
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",77
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",11
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",57
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",8.1
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",702
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",659
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",78.9
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",101
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",12.1
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",58
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",6.9
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",835
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",818
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",83.7
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",109
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",11.2
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",80
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",8.2
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",977
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",805
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",79.2
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",128
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",12.6
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",94
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",9.3
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1016
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",757
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",72.5
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",131
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",12.5
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",89
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",8.5
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1044
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1039
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",97.8
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",121
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",11.4
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",104
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",9.8
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1062
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",762
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",51
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",6.7
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",48
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",6.3
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",762
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",824
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",42
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",5.1
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",64
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",7.8
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",824
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",30
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.4
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",77
