"Year","Race/Ethnicity","Age","Region","Below Poverty Level","Poverty Status Determined","Percent Below Poverty Level"
"2012-2016","All","Total","North Central Region",72994,593428,12.3
"2012-2016","All","Under 18","North Central Region",23113,132727,17.41
"2012-2016","American Indian and Alaska Native Alone","Total","North Central Region",394,1753,22.48
"2012-2016","American Indian and Alaska Native Alone","Under 18","North Central Region",158,669,23.62
"2012-2016","Asian Alone","Total","North Central Region",2106,29602,7.11
"2012-2016","Asian Alone","Under 18","North Central Region",566,7307,7.75
"2012-2016","Black or African American Alone","Total","North Central Region",20326,101983,19.93
"2012-2016","Black or African American Alone","Under 18","North Central Region",7466,26602,28.07
"2012-2016","Hispanic or Latino","Total","North Central Region",30393,100056,30.38
"2012-2016","Hispanic or Latino","Under 18","North Central Region",12064,32155,37.52
"2012-2016","Native Hawaiian and Other Pacific Islander","Total","North Central Region",0,117,0
"2012-2016","Native Hawaiian and Other Pacific Islander","Under 18","North Central Region",0,58,0
"2012-2016","Some Other Race Alone","Total","North Central Region",10969,35081,31.27
"2012-2016","Some Other Race Alone","Under 18","North Central Region",3585,9377,38.23
"2012-2016","Two or More Races","Total","North Central Region",4572,21219,21.55
"2012-2016","Two or More Races","Under 18","North Central Region",2497,10975,22.75
"2012-2016","White Alone","Total","North Central Region",34627,403673,8.58
"2012-2016","White Alone","Under 18","North Central Region",8841,77739,11.37
"2012-2016","White Alone Not Hispanic or Latino","Total","North Central Region",19957,352909,5.65
"2012-2016","White Alone Not Hispanic or Latino","Under 18","North Central Region",3015,62086,4.86
"2012-2016","All","Total","South Central Region",63405,493860,12.84
"2012-2016","All","Under 18","South Central Region",18957,102409,18.51
"2012-2016","American Indian and Alaska Native Alone","Total","South Central Region",354,1178,30.05
"2012-2016","American Indian and Alaska Native Alone","Under 18","South Central Region",123,336,36.61
"2012-2016","Asian Alone","Total","South Central Region",2515,22653,11.1
"2012-2016","Asian Alone","Under 18","South Central Region",356,4933,7.22
"2012-2016","Black or African American Alone","Total","South Central Region",17614,75435,23.35
"2012-2016","Black or African American Alone","Under 18","South Central Region",6817,20602,33.09
"2012-2016","Hispanic or Latino","Total","South Central Region",17661,76083,23.21
"2012-2016","Hispanic or Latino","Under 18","South Central Region",7340,24722,29.69
"2012-2016","Native Hawaiian and Other Pacific Islander","Total","South Central Region",21,46,45.65
"2012-2016","Native Hawaiian and Other Pacific Islander","Under 18","South Central Region",0,16,0
"2012-2016","Some Other Race Alone","Total","South Central Region",8221,29767,27.62
"2012-2016","Some Other Race Alone","Under 18","South Central Region",3434,9902,34.68
"2012-2016","Two or More Races","Total","South Central Region",3043,12607,24.14
"2012-2016","Two or More Races","Under 18","South Central Region",1457,5740,25.38
"2012-2016","White Alone","Total","South Central Region",31637,352174,8.98
"2012-2016","White Alone","Under 18","South Central Region",6770,60880,11.12
"2012-2016","White Alone Not Hispanic or Latino","Total","South Central Region",24019,312018,7.7
"2012-2016","White Alone Not Hispanic or Latino","Under 18","South Central Region",3860,49058,7.87
"2012-2016","All","Total","Eastern Region",54359,608843,8.93
"2012-2016","All","Under 18","Eastern Region",15050,125863,11.96
"2012-2016","American Indian and Alaska Native Alone","Total","Eastern Region",357,2334,15.3
"2012-2016","American Indian and Alaska Native Alone","Under 18","Eastern Region",107,515,20.78
"2012-2016","Asian Alone","Total","Eastern Region",1354,19300,7.02
"2012-2016","Asian Alone","Under 18","Eastern Region",300,4310,6.96
