"Region","Location of Placement","Type of Placement","Race/Ethnicity","Value"
"Eastern Region","In State","Total","Total",860
"North Central Region","In State","Total","Total",845
"Western Region","In State","Total","Total",835
"South Central Region","In State","Total","Total",585
"Central Region","In State","Total","Total",557
"Southwest Region","In State","Total","Total",468
"Eastern Region","In State","Total","White",448
"Eastern Region","In State","Relative Foster Care","Total",330
"Western Region","In State","Total","White",328
"North Central Region","In State","Total","Hispanic",324
"Western Region","In State","Total","Hispanic",312
"North Central Region","In State","Relative Foster Care","Total",291
"Western Region","In State","Relative Foster Care","Total",276
"Eastern Region","In State","Foster Care","Total",275
"North Central Region","In State","Total","Black",262
"Western Region","In State","Foster Care","Total",262
"Central Region","In State","Total","Hispanic",235
"South Central Region","In State","Total","Black",223
"North Central Region","In State","Foster Care","Total",218
"Southwest Region","In State","Total","Black",216
"Central Region","In State","Total","White",209
"Eastern Region","In State","Total","Hispanic",203
"North Central Region","In State","Total","White",188
"Eastern Region","In State","Relative Foster Care","White",183
"South Central Region","In State","Relative Foster Care","Total",174
"Central Region","In State","Relative Foster Care","Total",170
"Southwest Region","In State","Total","Hispanic",165
"South Central Region","In State","Total","Hispanic",160
"Western Region","In State","Therapeutic Foster Care","Total",155
"Southwest Region","In State","Relative Foster Care","Total",152
"South Central Region","In State","Total","White",149
"South Central Region","In State","Foster Care","Total",146
"Eastern Region","In State","Foster Care","White",145
"Central Region","In State","Foster Care","Total",134
"Southwest Region","In State","Foster Care","Total",128
"North Central Region","In State","Relative Foster Care","Hispanic",124
"Eastern Region","In State","Total","Other",123
"Western Region","In State","Total","Black",123
"Western Region","In State","Foster Care","Hispanic",116
"North Central Region","In State","Therapeutic Foster Care","Total",113
"Western Region","In State","Relative Foster Care","White",109
"Central Region","In State","Therapeutic Foster Care","Total",108
"South Central Region","In State","Therapeutic Foster Care","Total",106
"Western Region","In State","Foster Care","White",101
"Western Region","In State","Relative Foster Care","Hispanic",94
"North Central Region","In State","Foster Care","Hispanic",87
"Eastern Region","In State","Total","Black",86
"Eastern Region","In State","Therapeutic Foster Care","Total",83
"Southwest Region","In State","Therapeutic Foster Care","Total",82
"Eastern Region","In State","Relative Foster Care","Hispanic",79
"North Central Region","In State","Relative Foster Care","Black",79
"Central Region","In State","Relative Foster Care","White",77
"Western Region","In State","Special Study","Total",76
"Central Region","In State","Relative Foster Care","Hispanic",73
"South Central Region","In State","Relative Foster Care","Black",72
"Western Region","In State","Total","Other",72
"North Central Region","In State","Total","Other",71
"North Central Region","In State","Special Study","Total",71
"Southwest Region","In State","Relative Foster Care","Black",71
"Central Region","In State","Total","Black",63
"North Central Region","In State","Relative Foster Care","White",61
"Western Region","In State","Therapeutic Foster Care","White",61
"North Central Region","In State","Foster Care","Black",57
"North Central Region","In State","Group Home","Total",57
"Central Region","In State","Foster Care","Hispanic",56
"Eastern Region","In State","Foster Care","Hispanic",55
"Southwest Region","In State","Foster Care","Black",54
"Eastern Region","In State","Special Study","Total",53
"North Central Region","In State","Foster Care","White",53
"South Central Region","In State","Total","Other",53
"South Central Region","In State","Relative Foster Care","White",52
"Eastern Region","In State","Relative Foster Care","Other",51
"Southwest Region","In State","Relative Foster Care","Hispanic",51
"Central Region","In State","Total","Other",50
"Southwest Region","In State","Total","White",50
"Western Region","In State","Therapeutic Foster Care","Hispanic",50
"Central Region","In State","Foster Care","White",47
"North Central Region","In State","Therapeutic Foster Care","Black",47
"South Central Region","In State","Foster Care","Black",47
"Western Region","In State","Relative Foster Care","Black",45
"Central Region","In State","Therapeutic Foster Care","Hispanic",44
"South Central Region","In State","Independent Living","Total",44
"Southwest Region","In State","Foster Care","Hispanic",44
"South Central Region","In State","Foster Care","Hispanic",43
"Central Region","In State","Group Home","Total",42
"Eastern Region","In State","Foster Care","Other",42
"South Central Region","In State","Foster Care","White",42
"Eastern Region","In State","Group Home","Total",40
"Eastern Region","In State","Therapeutic Foster Care","White",38
"North Central Region","In State","Therapeutic Foster Care","Hispanic",38
"North Central Region","In State","Independent Living","Total",38
"South Central Region","In State","Therapeutic Foster Care","Black",37
"South Central Region","In State","Relative Foster Care","Hispanic",37
"South Central Region","In State","Therapeutic Foster Care","Hispanic",37
"Southwest Region","In State","Therapeutic Foster Care","Hispanic",37
"Southwest Region","In State","Total","Other",37
"Central Region","In State","Independent Living","Total",36
"South Central Region","In State","Special Study","Total",36
"Central Region","In State","Therapeutic Foster Care","White",35
