"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value","R#","Region"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",452,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",83.2,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",65,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",12,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",48,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",8.8,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",543,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",577,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",82.2,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",77,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",11,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",57,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",8.1,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",702,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",659,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",78.9,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",101,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",12.1,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",58,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",6.9,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",835,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",818,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",83.7,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",109,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",11.2,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",80,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",8.2,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",977,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",805,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",79.2,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",128,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",12.6,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",94,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",9.3,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1016,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",757,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",72.5,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",131,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",12.5,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",89,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",8.5,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1044,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1039,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",97.8,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",121,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",11.4,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",104,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",9.8,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1062,1,"Southwest"
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",762,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",51,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",6.7,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",48,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",6.3,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",762,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",824,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",42,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",5.1,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",64,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",7.8,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",824,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",30,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.4,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",77,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",8.9,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",870,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",954,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",55,4,"North Central"
