"Town","Region","FiscalYear","Substance","Adm_Count_by_Drug_Yr_Town","Adm_Count_Yr_Town","Adm_Count_by_Drug_Yr_Region","Adm_Count_Yr_Region","Adm_Count_by_Drug_Yr_State","Adm_Count_Yr_State","Pct Adm Drug Town","Pct Adm Drug Region","Pct Adm Drug State"
"Ansonia","South Central Region",2014,"Alcohol",157,417,3477,10142,24611,65045,37.6,34.3,37.8
"Ansonia","South Central Region",2014,"Crack",12,417,514,10142,2496,65045,2.9,5.1,3.8
"Ansonia","South Central Region",2014,"Heroin",95,417,2974,10142,21053,65045,22.8,29.3,32.4
"Ansonia","South Central Region",2014,"Marijuana, Hashish, THC",84,417,1356,10142,8281,65045,20.1,13.4,12.7
"Ansonia","South Central Region",2014,"Other Opiates and Synthetics",36,417,717,10142,3231,65045,8.6,7.1,5
"Ansonia","South Central Region",2014,"Benzodiazepines",3,417,281,10142,841,65045,0.7,2.8,1.3
"Ansonia","South Central Region",2014,"Cocaine",17,417,411,10142,2712,65045,4.1,4.1,4.2
"Ansonia","South Central Region",2014,"Other",7,417,168,10142,797,65045,1.7,1.7,1.2
"Ansonia","South Central Region",2014,"PCP",6,417,244,10142,1023,65045,1.4,2.4,1.6
"Ansonia","South Central Region",2016,"Cocaine",12,468,485,11087,2479,67054,2.6,4.4,3.7
"Ansonia","South Central Region",2016,"Crack",12,468,388,11087,2039,67054,2.6,3.5,3
"Ansonia","South Central Region",2016,"Heroin",143,468,3851,11087,25634,67054,30.6,34.7,38.2
"Ansonia","South Central Region",2016,"Marijuana, Hashish, THC",57,468,1502,11087,8159,67054,12.2,13.5,12.2
"Ansonia","South Central Region",2016,"Other Opiates and Synthetics",32,468,638,11087,2792,67054,6.8,5.8,4.2
"Ansonia","South Central Region",2016,"Alcohol",182,468,3516,11087,23336,67054,38.9,31.7,34.8
"Ansonia","South Central Region",2016,"Other",12,468,175,11087,719,67054,2.6,1.6,1.1
"Ansonia","South Central Region",2016,"Benzodiazepines",14,468,257,11087,840,67054,3,2.3,1.3
"Ansonia","South Central Region",2015,"Alcohol",224,518,3933,11215,24428,67992,43.2,35.1,35.9
"Ansonia","South Central Region",2015,"Crack",11,518,424,11215,2169,67992,2.1,3.8,3.2
"Ansonia","South Central Region",2015,"Other",5,518,209,11215,856,67992,1,1.9,1.3
"Ansonia","South Central Region",2015,"Heroin",126,518,3629,11215,24247,67992,24.3,32.4,35.7
"Ansonia","South Central Region",2015,"Marijuana, Hashish, THC",91,518,1381,11215,8754,67992,17.6,12.3,12.9
