Source,Source Acronym,CPES Indicator,Data Availability Level,Dimensions,Measure,Variables,Form,CTData Category (Tag),CTData Data Set Name(s),CTData Data Set Description(s),Notes,Raw Data Source,Current
CT Student Health Survey: Behavior Component (YRBS),YRBS,Current use,State,"Grade 9-12, Gender, Race/Ethnicity",Number,"Alcohol
Tobacco
Marijuana
Cocaine
Problem Gambling",Aggregate Data Report,YRBS,,,,,
CT Student Health Survey: Behavior Component (YRBS),YRBS,Past month use,State,"Grade 9-12, Gender, Race/Ethnicity",Number,"Alcohol
Tobacco
Marijuana
Other Illicit Drugs",Aggregate Data Report,YRBS,,,,,
CT Student Health Survey: Behavior Component (YRBS),YRBS,Lifetime use,State,"Grade 9-12, Gender, Race/Ethnicity",Number,"Marijuana
Prescription Drugs
Heroin
Cocaine",Aggregate Data Report,YRBS,,,,,
CT Student Health Survey: Behavior Component (YRBS),YRBS,Early onset (first use before age 13),State,"Grade 9-12, Gender, Race/Ethnicity",Number,"Alcohol
Marijuana",Aggregate Data Report,YRBS,,,,,
CT Student Health Survey: Behavior Component (YRBS),YRBS,Current binge drinking,State,"Grade 9-12, Gender, Race/Ethnicity",Number,Alcohol,Aggregate Data Report,YRBS,,,,,
CT Student Health Survey: Behavior Component (YRBS),YRBS,Past month binge drinking,State,"Grade 9-12, Gender, Race/Ethnicity",Number,Alcohol,Aggregate Data Report,YRBS,,,,,
CT Student Health Survey: Behavior Component (YRBS),YRBS,Drove after drinking,State,"Grade 9-12, Gender, Race/Ethnicity",Number,Alcohol,Aggregate Data Report,YRBS,,,,,
CT Student Health Survey: Behavior Component (YRBS),YRBS,Rode in car when driver had been drinking,State,"Grade 9-12, Gender, Race/Ethnicity",Number,,Aggregate Data Report,YRBS,,,,,
CT Student Health Survey: Behavior Component (YRBS),YRBS,So sad or hopeless stopped usual activities,State,"Grade 9-12, Gender, Race/Ethnicity",Number,,Aggregate Data Report,YRBS,,,,,
CT Student Health Survey: Behavior Component (YRBS),YRBS,Suicide seriously considered past 12 months,State,"Grade 9-12, Gender, Race/Ethnicity",Number,Suicide,Aggregate Data Report,YRBS,,,,,
