"Town","FIPS","AGGREGATION","Year","Race","Type","Measure Type","Variable","Value","Region"
"Andover",901301080,"5-Year","2005-2009","White","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2007-2011","White","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2003-2007","White","Infant","Number","Fetal Mortality",1,"North Central Region"
"Andover",901301080,"5-Year","2006-2010","White","Infant","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2002-2006","White","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","1999-2003","Hispanic or Latino","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2005-2009","Hispanic or Latino","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2000-2004","White","Infant","Number","Fetal Mortality",1,"North Central Region"
"Andover",901301080,"5-Year","2010-2014","All","Postneonatal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2004-2008","All","Postneonatal","Rate","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2000-2004","White","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2004-2008","Hispanic or Latino","Infant","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2000-2004","All","Neonatal","Rate","Fetal Mortality",4.85,"North Central Region"
"Andover",901301080,"5-Year","2010-2014","Hispanic or Latino","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2008-2012","All","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2006-2010","Other","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","1999-2003","Other","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2006-2010","Hispanic or Latino","Infant","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2006-2010","Hispanic or Latino","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","1999-2003","White","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2009-2013","Black or African American","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2008-2012","White","Infant","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2001-2005","White","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2002-2006","Other","Infant","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2004-2008","All","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2003-2007","Hispanic or Latino","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","2000-2004","Black or African American","Fetal","Number","Fetal Mortality",0,"North Central Region"
"Andover",901301080,"5-Year","1999-2003","All","Infant","Number","Fetal Mortality",1,"North Central Region"
