"Town","FIPS","Year","Measure Period","Indicator","Measure Type","Variable","Value","Region"
"Andover",901301080,2005,"Calendar Year","Referrals","Number","Birth to Three Indicators",9,"North Central Region"
"Andover",901301080,2005,"Calendar Year","Evaluations","Number","Birth to Three Indicators",8,"North Central Region"
"Andover",901301080,2005,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",4,"North Central Region"
"Andover",901301080,2005,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",12,"North Central Region"
"Andover",901301080,2005,"Calendar Year","Total Served","Number","Birth to Three Indicators",10,"North Central Region"
"Andover",901301080,2005,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",2,"North Central Region"
"Andover",901301080,2006,"Calendar Year","Referrals","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2006,"Calendar Year","Evaluations","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2006,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2006,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",9,"North Central Region"
"Andover",901301080,2006,"Calendar Year","Total Served","Number","Birth to Three Indicators",8,"North Central Region"
"Andover",901301080,2006,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2007,"Calendar Year","Referrals","Number","Birth to Three Indicators",8,"North Central Region"
"Andover",901301080,2007,"Calendar Year","Evaluations","Number","Birth to Three Indicators",8,"North Central Region"
"Andover",901301080,2007,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",6,"North Central Region"
"Andover",901301080,2007,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",6,"North Central Region"
"Andover",901301080,2007,"Calendar Year","Total Served","Number","Birth to Three Indicators",6,"North Central Region"
"Andover",901301080,2007,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"North Central Region"
"Andover",901301080,2008,"Calendar Year","Referrals","Number","Birth to Three Indicators",7,"North Central Region"
"Andover",901301080,2008,"Calendar Year","Evaluations","Number","Birth to Three Indicators",4,"North Central Region"
"Andover",901301080,2008,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",2,"North Central Region"
"Andover",901301080,2008,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",7,"North Central Region"
"Andover",901301080,2008,"Calendar Year","Total Served","Number","Birth to Three Indicators",7,"North Central Region"
"Andover",901301080,2008,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2009,"Calendar Year","Referrals","Number","Birth to Three Indicators",6,"North Central Region"
"Andover",901301080,2009,"Calendar Year","Evaluations","Number","Birth to Three Indicators",9,"North Central Region"
"Andover",901301080,2009,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",8,"North Central Region"
"Andover",901301080,2009,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",10,"North Central Region"
"Andover",901301080,2009,"Calendar Year","Total Served","Number","Birth to Three Indicators",10,"North Central Region"
"Andover",901301080,2009,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2010,"Calendar Year","Referrals","Number","Birth to Three Indicators",7,"North Central Region"
"Andover",901301080,2010,"Calendar Year","Evaluations","Number","Birth to Three Indicators",6,"North Central Region"
"Andover",901301080,2010,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",5,"North Central Region"
"Andover",901301080,2010,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",10,"North Central Region"
"Andover",901301080,2010,"Calendar Year","Total Served","Number","Birth to Three Indicators",10,"North Central Region"
"Andover",901301080,2010,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"North Central Region"
"Andover",901301080,2011,"Calendar Year","Referrals","Number","Birth to Three Indicators",2,"North Central Region"
"Andover",901301080,2011,"Calendar Year","Evaluations","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2011,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",2,"North Central Region"
"Andover",901301080,2011,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",7,"North Central Region"
"Andover",901301080,2011,"Calendar Year","Total Served","Number","Birth to Three Indicators",7,"North Central Region"
"Andover",901301080,2011,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"North Central Region"
"Andover",901301080,2012,"Calendar Year","Referrals","Number","Birth to Three Indicators",10,"North Central Region"
"Andover",901301080,2012,"Calendar Year","Evaluations","Number","Birth to Three Indicators",9,"North Central Region"
"Andover",901301080,2012,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",7,"North Central Region"
"Andover",901301080,2012,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",10,"North Central Region"
"Andover",901301080,2012,"Calendar Year","Total Served","Number","Birth to Three Indicators",10,"North Central Region"
"Andover",901301080,2012,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2013,"Calendar Year","Referrals","Number","Birth to Three Indicators",9,"North Central Region"
"Andover",901301080,2013,"Calendar Year","Evaluations","Number","Birth to Three Indicators",9,"North Central Region"
"Andover",901301080,2013,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",7,"North Central Region"
"Andover",901301080,2013,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",12,"North Central Region"
"Andover",901301080,2013,"Calendar Year","Total Served","Number","Birth to Three Indicators",12,"North Central Region"
"Andover",901301080,2013,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"North Central Region"
"Andover",901301080,2014,"Calendar Year","Referrals","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2014,"Calendar Year","Evaluations","Number","Birth to Three Indicators",2,"North Central Region"
"Andover",901301080,2014,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",1,"North Central Region"
"Andover",901301080,2014,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",7,"North Central Region"
"Andover",901301080,2014,"Calendar Year","Total Served","Number","Birth to Three Indicators",7,"North Central Region"
