"Region","Location of Placement","Type of Placement","Race/Ethnicity","Value"
"Central Region","In State","Connecticut Juvenile Training School","Black",2
"Central Region","In State","Connecticut Juvenile Training School","Hispanic",5
"Central Region","In State","Connecticut Juvenile Training School","Other",0
"Central Region","In State","Connecticut Juvenile Training School","White",3
"Central Region","In State","Foster Care","Black",12
"Central Region","In State","Foster Care","Hispanic",40
"Central Region","In State","Foster Care","Other",8
"Central Region","In State","Foster Care","White",43
"Central Region","In State","Group Home","Black",6
"Central Region","In State","Group Home","Hispanic",23
"Central Region","In State","Group Home","Other",4
"Central Region","In State","Group Home","White",24
"Central Region","In State","High Meadows","Black",0
"Central Region","In State","High Meadows","Hispanic",0
"Central Region","In State","High Meadows","Other",0
"Central Region","In State","High Meadows","White",0
"Central Region","In State","Independent Living","Black",6
"Central Region","In State","Independent Living","Hispanic",15
"Central Region","In State","Independent Living","Other",1
"Central Region","In State","Independent Living","White",16
"Central Region","In State","Medical or Psychiatric Hospital Placement","Black",1
"Central Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",1
"Central Region","In State","Medical or Psychiatric Hospital Placement","Other",0
"Central Region","In State","Medical or Psychiatric Hospital Placement","White",0
"Central Region","In State","PDC or Safe Home","Black",1
"Central Region","In State","PDC or Safe Home","Hispanic",1
"Central Region","In State","PDC or Safe Home","Other",0
"Central Region","In State","PDC or Safe Home","White",2
"Central Region","In State","Relative Foster Care","Black",13
"Central Region","In State","Relative Foster Care","Hispanic",30
"Central Region","In State","Relative Foster Care","Other",4
"Central Region","In State","Relative Foster Care","White",60
"Central Region","In State","Residential Treatment Center","Black",6
"Central Region","In State","Residential Treatment Center","Hispanic",10
"Central Region","In State","Residential Treatment Center","Other",1
"Central Region","In State","Residential Treatment Center","White",8
"Central Region","In State","Shelter","Black",2
"Central Region","In State","Shelter","Hispanic",8
"Central Region","In State","Shelter","Other",0
"Central Region","In State","Shelter","White",7
"Central Region","In State","Solnit Center","Black",3
"Central Region","In State","Solnit Center","Hispanic",2
"Central Region","In State","Solnit Center","Other",1
"Central Region","In State","Solnit Center","White",1
"Central Region","In State","Special Study","Black",5
"Central Region","In State","Special Study","Hispanic",18
"Central Region","In State","Special Study","Other",1
"Central Region","In State","Special Study","White",11
