"Town","Year","FIPS","Indicator","Measure Type","Variable","Value","Region","Total Births"
"Andover",2013,901301080,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"North Central Region",18
"Andover",2013,901301080,"Total Served","Percent","Birth to Three Indicators",16.67,"North Central Region",18
"Andover",2013,901301080,"Individual Family Service Plans","Percent","Birth to Three Indicators",16.67,"North Central Region",18
"Andover",2013,901301080,"Total Eligible","Number","Birth to Three Indicators",3,"North Central Region",18
"Andover",2013,901301080,"Referrals","Number","Birth to Three Indicators",3,"North Central Region",18
"Andover",2013,901301080,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"North Central Region",18
"Andover",2013,901301080,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",0,"North Central Region",18
"Andover",2013,901301080,"Evaluations","Number","Birth to Three Indicators",3,"North Central Region",18
"Andover",2013,901301080,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",0,"North Central Region",18
"Andover",2013,901301080,"Evaluated that are Eligible","Percent","Birth to Three Indicators",100,"North Central Region",18
"Andover",2013,901301080,"Total Served","Number","Birth to Three Indicators",3,"North Central Region",18
"Andover",2013,901301080,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"North Central Region",18
"Andover",2013,901301080,"Referrals","Percent","Birth to Three Indicators",16.67,"North Central Region",18
"Andover",2013,901301080,"Evaluations","Percent","Birth to Three Indicators",16.67,"North Central Region",18
"Andover",2013,901301080,"Individual Family Service Plans","Number","Birth to Three Indicators",3,"North Central Region",18
"Andover",2013,901301080,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",0,"North Central Region",18
"Andover",2013,901301080,"Total Eligible","Percent","Birth to Three Indicators",16.67,"North Central Region",18
"Ansonia",2013,900901220,"Individual Family Service Plans","Number","Birth to Three Indicators",29,"South Central Region",201
"Ansonia",2013,900901220,"Evaluations","Number","Birth to Three Indicators",40,"South Central Region",201
"Ansonia",2013,900901220,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",96.67,"South Central Region",201
"Ansonia",2013,900901220,"Referred that are Evaluated","Percent","Birth to Three Indicators",88.89,"South Central Region",201
"Ansonia",2013,900901220,"Referrals","Number","Birth to Three Indicators",45,"South Central Region",201
"Ansonia",2013,900901220,"Total Served","Number","Birth to Three Indicators",27,"South Central Region",201
"Ansonia",2013,900901220,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",16,"South Central Region",201
"Ansonia",2013,900901220,"Total Eligible","Percent","Birth to Three Indicators",14.93,"South Central Region",201
"Ansonia",2013,900901220,"Total Eligible","Number","Birth to Three Indicators",30,"South Central Region",201
"Ansonia",2013,900901220,"Total Served","Percent","Birth to Three Indicators",13.43,"South Central Region",201
"Ansonia",2013,900901220,"Referrals","Percent","Birth to Three Indicators",22.39,"South Central Region",201
"Ansonia",2013,900901220,"Evaluations","Percent","Birth to Three Indicators",19.9,"South Central Region",201
"Ansonia",2013,900901220,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",53.33,"South Central Region",201
"Ansonia",2013,900901220,"Individual Family Service Plans","Percent","Birth to Three Indicators",14.43,"South Central Region",201
"Ansonia",2013,900901220,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",7.96,"South Central Region",201
"Ansonia",2013,900901220,"IFSP Receiving Services","Percent","Birth to Three Indicators",93.1,"South Central Region",201
